bundle_id,bundle_name,description,created_date,modified_date
HBA1c,HBA1c,NA,2025-12-29,2025-12-29
LDH,LDH,NA,2025-12-29,2025-12-29
antibodies_to_hiv,Antibodies to HIV,NA,2025-12-29,2025-12-29
antigens,Antigens,NA,2025-12-29,2025-12-29
blood_antibodies,Blood antibodies,NA,2025-12-29,2025-12-29
bone_profile,Bone profile,NA,2025-12-29,2025-12-29
covid_antibody_levels,Covid antibody levels,NA,2025-12-29,2025-12-29
eGFR,eGFR,NA,2025-12-29,2025-12-29
full_blood_count_differential,Full blood count differential,NA,2025-12-29,2025-12-29
haemoglobin,Haemoglobin,NA,2025-12-29,2025-12-29
haptoglobin,Haptoglobin,NA,2025-12-29,2025-12-29
height_and_weight,Height and weight,NA,2025-12-29,2025-12-29
hepatitis_b_screening,Hepatitis B screening,NA,2025-12-29,2025-12-29
hepatitis_c_screening,Hepatitis C screening,NA,2025-12-29,2025-12-29
immunofixation_chains,Immunofixation chains,NA,2025-12-29,2025-12-29
immunoglobulins,Immunoglobulins,NA,2025-12-29,2025-12-29
light_chains,Light chains,NA,2025-12-29,2025-12-29
liver_function_test,Liver function test,NA,2025-12-29,2025-12-29
liver_profile,Liver profile,NA,2025-12-29,2025-12-29
monoclonal_bands,Monoclonal bands,NA,2025-12-29,2025-12-29
plasma_viscosity,Plasma viscosity,NA,2025-12-29,2025-12-29
renal_profile,Renal profile,NA,2025-12-29,2025-12-29
serum_albumin,Serum albumin,NA,2025-12-29,2025-12-29
serum_beta_2_microglobulin,Serum beta 2 microglobulin,NA,2025-12-29,2025-12-29
serum_corrected_calcium,Serum corrected calcium,NA,2025-12-29,2025-12-29
serum_creatinine,Serum creatinine,NA,2025-12-29,2025-12-29
serum_glucose,Serum glucose,NA,2025-12-29,2025-12-29
serum_immunofixation,Serum immunofixation,NA,2025-12-29,2025-12-29
serum_urea,Serum urea,NA,2025-12-29,2025-12-29
thyroid_profile,Thyroid profile,NA,2025-12-29,2025-12-29
total_protein,Total protein,NA,2025-12-29,2025-12-29
urea_electrolyte,Urea electrolyte,NA,2025-12-29,2025-12-29
urine_albumin,Urine albumin,NA,2025-12-29,2025-12-29
urine_bence_jones_protein,Urine bence jones protein,NA,2025-12-29,2025-12-29
smoking,Smoking,NA,2025-12-29,2025-12-29
snomed_race,Race,NA,2025-12-29,2025-12-29
indices_of_deprivation,Indices of deprivation,NA,2025-12-29,2025-12-29
NA,Test,NA,2025-12-29,2025-12-29
