concept_key,concept_id,concept_code,vocabulary_id
LOINC_17856-6,3005673,17856-6,LOINC
LOINC_59261-8,40762352,59261-8,LOINC
LOINC_14804-9,3022250,14804-9,LOINC
LOINC_56888-1,40760007,56888-1,LOINC
LOINC_948-0,3003573,948-0,LOINC
LOINC_996-9,3021714,996-9,LOINC
LOINC_58060-5,40761161,58060-5,LOINC
LOINC_1021-5,3005480,1021-5,LOINC
LOINC_1027-2,3037821,1027-2,LOINC
LOINC_1033-0,3033876,1033-0,LOINC
LOINC_1072-8,3024448,1072-8,LOINC
LOINC_1078-5,3010024,1078-5,LOINC
LOINC_1096-7,3002394,1096-7,LOINC
LOINC_1102-3,3001884,1102-3,LOINC
LOINC_1108-0,3013356,1108-0,LOINC
LOINC_1115-5,3013154,1115-5,LOINC
LOINC_1121-3,3013506,1121-3,LOINC
LOINC_1138-7,3023848,1138-7,LOINC
LOINC_1147-8,3026396,1147-8,LOINC
LOINC_1231-0,3028568,1231-0,LOINC
LOINC_1261-7,3037596,1261-7,LOINC
LOINC_1291-4,3007188,1291-4,LOINC
LOINC_1320-1,3019597,1320-1,LOINC
LOINC_1159-3,3005186,1159-3,LOINC
LOINC_1165-0,3005222,1165-0,LOINC
LOINC_1195-7,3008387,1195-7,LOINC
LOINC_1213-8,3006768,1213-8,LOINC
LOINC_LP310289-6,37062741,LP310289-6,LOINC
LOINC_LP310286-2,37051745,LP310286-2,LOINC
LOINC_92491-0,37020250,92491-0,LOINC
LOINC_92506-5,37021506,92506-5,LOINC
LOINC_92496-9,37021365,92496-9,LOINC
LOINC_841-7,3016598,841-7,LOINC
LOINC_945-6,3022247,945-6,LOINC
LOINC_1156-9,3014694,1156-9,LOINC
LOINC_951-4,3022924,951-4,LOINC
LOINC_65331-1,40768029,65331-1,LOINC
LOINC_52109-6,3038770,52109-6,LOINC
LOINC_52108-8,3039113,52108-8,LOINC
LOINC_957-1,3020342,957-1,LOINC
LOINC_975-3,3015654,975-3,LOINC
LOINC_987-8,3008003,987-8,LOINC
LOINC_993-6,3007705,993-6,LOINC
LOINC_58059-7,40761160,58059-7,LOINC
LOINC_1018-1,3001981,1018-1,LOINC
LOINC_1162-7,3015600,1162-7,LOINC
LOINC_1168-4,3002402,1168-4,LOINC
LOINC_1024-9,3002171,1024-9,LOINC
LOINC_1030-6,3001819,1030-6,LOINC
LOINC_65320-4,40768018,65320-4,LOINC
LOINC_1038-9,3017125,1038-9,LOINC
LOINC_31497-1,3037405,31497-1,LOINC
LOINC_58061-3,40761162,58061-3,LOINC
LOINC_1044-7,3017800,1044-7,LOINC
LOINC_48345-3,3053246,48345-3,LOINC
LOINC_1060-3,3016597,1060-3,LOINC
LOINC_1186-6,3020920,1186-6,LOINC
LOINC_1069-4,3010889,1069-4,LOINC
LOINC_1075-1,3026722,1075-1,LOINC
LOINC_65324-6,40768022,65324-6,LOINC
LOINC_1081-9,3027304,1081-9,LOINC
LOINC_1087-6,3005119,1087-6,LOINC
LOINC_1192-4,3021816,1192-4,LOINC
LOINC_1093-4,3005386,1093-4,LOINC
LOINC_58068-8,40761169,58068-8,LOINC
LOINC_1099-1,3034851,1099-1,LOINC
LOINC_1105-6,3034176,1105-6,LOINC
LOINC_1112-2,3035056,1112-2,LOINC
LOINC_1118-9,3014586,1118-9,LOINC
LOINC_1135-3,3005723,1135-3,LOINC
LOINC_1144-5,3024811,1144-5,LOINC
LOINC_1228-6,3014995,1228-6,LOINC
LOINC_1258-3,3021215,1258-3,LOINC
LOINC_1288-0,3026986,1288-0,LOINC
LOINC_58072-0,40761173,58072-0,LOINC
LOINC_1317-7,3003351,1317-7,LOINC
LOINC_1210-4,3017860,1210-4,LOINC
LOINC_55338-8,40758467,55338-8,LOINC
LOINC_1325-0,3002134,1325-0,LOINC
LOINC_1331-8,3001631,1331-8,LOINC
LOINC_58081-1,40761182,58081-1,LOINC
LOINC_58084-5,40761185,58084-5,LOINC
LOINC_58074-6,40761175,58074-6,LOINC
LOINC_65339-4,40768037,65339-4,LOINC
LOINC_1338-3,3011656,1338-3,LOINC
LOINC_58076-1,40761177,58076-1,LOINC
LOINC_1344-1,3012260,1344-1,LOINC
LOINC_1350-8,3012905,1350-8,LOINC
LOINC_1216-1,3025123,1216-1,LOINC
LOINC_101092-5,3965130,101092-5,LOINC
LOINC_69373-9,40771894,69373-9,LOINC
LOINC_6768-6,3035995,6768-6,LOINC
LOINC_1751-7,3024561,1751-7,LOINC
LOINC_2000-8,3015377,2000-8,LOINC
LOINC_29265-6,3020059,29265-6,LOINC
LOINC_14879-1,3003458,14879-1,LOINC
LOINC_99597-7,1988202,99597-7,LOINC
LOINC_99596-9,1988397,99596-9,LOINC
LOINC_77147-7,46236952,77147-7,LOINC
LOINC_26464-8,3010813,26464-8,LOINC
LOINC_26453-1,3026361,26453-1,LOINC
LOINC_718-7,3000963,718-7,LOINC
LOINC_20570-8,3009542,20570-8,LOINC
LOINC_30428-7,3024731,30428-7,LOINC
LOINC_28539-5,3035941,28539-5,LOINC
LOINC_28540-3,3003338,28540-3,LOINC
LOINC_30385-9,3002385,30385-9,LOINC
LOINC_26515-7,3007461,26515-7,LOINC
LOINC_28542-9,3001123,28542-9,LOINC
LOINC_26499-4,3017732,26499-4,LOINC
LOINC_26474-7,3019198,26474-7,LOINC
LOINC_26484-6,3001604,26484-6,LOINC
LOINC_26449-9,3013115,26449-9,LOINC
LOINC_26444-0,3006315,26444-0,LOINC
LOINC_19048-8,3034708,19048-8,LOINC
LOINC_30392-5,3001490,30392-5,LOINC
LOINC_42244-4,3031973,42244-4,LOINC
LOINC_42245-1,3037653,42245-1,LOINC
LOINC_42246-9,3029071,42246-9,LOINC
LOINC_71858-5,42869613,71858-5,LOINC
LOINC_44920-7,3045566,44920-7,LOINC
LOINC_44921-5,3046405,44921-5,LOINC
LOINC_44922-3,3046708,44922-3,LOINC
LOINC_4542-7,3012336,4542-7,LOINC
LOINC_70209-2,42868683,70209-2,LOINC
SNOMED_50373000,4177340,50373000,SNOMED
SNOMED_27113001,4099154,27113001,SNOMED
LOINC_5195-3,3019284,5195-3,LOINC
LOINC_13952-7,3036282,13952-7,LOINC
LOINC_5193-8,3013731,5193-8,LOINC
LOINC_13955-0,3013801,13955-0,LOINC
LOINC_11011-4,3018447,11011-4,LOINC
LOINC_18299-8,3020508,18299-8,LOINC
LOINC_18301-2,3026687,18301-2,LOINC
LOINC_18303-8,3009762,18303-8,LOINC
LOINC_30081-4,3005427,30081-4,LOINC
LOINC_30082-2,3000841,30082-2,LOINC
LOINC_44555-1,3047350,44555-1,LOINC
LOINC_50978-6,3030207,50978-6,LOINC
LOINC_2458-8,3007164,2458-8,LOINC
LOINC_2472-9,3028026,2472-9,LOINC
LOINC_2465-3,3005719,2465-3,LOINC
LOINC_56688-5,40759807,56688-5,LOINC
