LabComponentKey,LabComponentEpicId,measurement_concept_id,CommonName,BundleName,n_lab_component_result,n_procedure_orders
21095,5412,NA,HISTORIC COMMENT,(G6PD) Glucose-6-Phosphate,6,3985
9407,3040523,3003994,GLUCOSE 6 PHOS. DEHYDROGENASE,(G6PD) Glucose-6-Phosphate,2118,3985
9406,3040522,NA,G6PD SCREEN,(G6PD) Glucose-6-Phosphate,6601,3985
8783,2950,NA,EXT MAN ENTRD FLUID TRIGLYCERIDES,*Unspecified,1,1
4896,1726280,3011163,CHOL/HDL RATIO,*Unspecified,1,1
8028,2269,NA,EXT MAN ENTRD SERUM ALBUMIN,*Unspecified,1,1
12613,3043755,NA,AP RESULT STATUS,*Unspecified,1,1
12616,3043758,NA,AP CASE TYPE,*Unspecified,1,1
21310,5556,NA,PRODUCT ORDER,*Unspecified,1,1
12631,3043773,NA,CULTURE CULT,*Unspecified,1,1
12643,3043785,NA,CLINICAL DETAILS,*Unspecified,1,1
12638,3043780,NA,REPORT STATUS,*Unspecified,1,1
21012,5328,NA,HISTORIC TEICOPLANIN,*Unspecified,1,1
82,1087,NA,WINPATH AMOXICILLIN,*Unspecified,1,1
15184,4840,NA,ORGANISMS ORG,*Unspecified,1,1
12609,3043751,NA,AP ACCESSION NUMBER,*Unspecified,1,1
21321,5567,NA,CURRENT STATUS,*Unspecified,1,1
21318,5564,NA,DONATION NUMBER,*Unspecified,1,1
4120,1622,NA,GYNAECOLOGY CULTURE GYNC,*Unspecified,1,1
7454,1813,NA,EXT MAN ENTRD ALKALINE PHOSPHATASE,*Unspecified,1,1
21315,5561,NA,FTGBP RECOVERY POST AB BLOCKING,*Unspecified,1,1
21313,5559,NA,TSH RECOVERY POST AB BLOCKING,*Unspecified,1,1
21314,5560,NA,FT4 RECOVERY POST AB BLOCKING,*Unspecified,1,1
20993,5309,NA,HISTORIC METHOD,*Unspecified,1,1
21319,5565,NA,DESCRIPTION,*Unspecified,1,1
20985,5301,NA,HISTORIC PRODUCT ORDER DETAILS,*Unspecified,1,1
12640,3043782,NA,SPECIMEN DESCRIPTION SDES,*Unspecified,1,1
10859,3041976,NA,HETEROPHILIC AB COMMENT,*Unspecified,1,1
4894,1726268,3007070,HDL,*Unspecified,2,1
3141,1552156,3022192,TRIGLYCERIDES,*Unspecified,2,1
12615,3043757,NA,AP SPECIMEN DESCRIPTION,*Unspecified,2,1
6561,1811463,3028437,LDL CHOLESTEROL,*Unspecified,7,1
21095,5412,NA,HISTORIC COMMENT,*Unspecified,9,1
7484,1822,NA,EXT MAN ENTRD TRIGLYCERIDE,*Unspecified,12,1
1656,1510312,3027114,CHOLESTEROL TOTAL,*Unspecified,13,1
7487,1825,NA,EXT MAN ENTRD LDL CHOLESTEROL CALCULATED,*Unspecified,13,1
7486,1824,NA,EXT MAN ENTRD NON-HDL CHOLESTEROL,*Unspecified,15,1
7483,1821,NA,EXT MAN ENTRD CHOLESTEROL (HSL),*Unspecified,15,1
7488,1826,NA,EXT MAN ENTRD CHOLESTEROLHDL RATIO,*Unspecified,16,1
7485,1823,NA,EXT MAN ENTRD HDL CHOLESTEROL,*Unspecified,19,1
23524,8946,NA,ADDITIONAL INFORMATION,*Unspecified,23,1
14172,4408,NA,ANTI-XA (EDOXABAN),*Unspecified,172,1
23533,8941,NA,HAEMOGLOBINOPATHY GENETIC DIAGNOSIS,*Unspecified,334,1
12615,3043757,NA,AP SPECIMEN DESCRIPTION,*Unspecified,973,1
12616,3043758,NA,AP CASE TYPE,*Unspecified,981,1
12609,3043751,NA,AP ACCESSION NUMBER,*Unspecified,981,1
12613,3043755,NA,AP RESULT STATUS,*Unspecified,981,1
8927,3040043,3025839,TRIGLYCERIDE,*Unspecified,182246,1
8928,3040044,NA,HDL CHOLESTEROL,*Unspecified,182296,1
8929,3040045,42868678,NON-HDL CHOLESTEROL,*Unspecified,182416,1
8931,3040047,3016087,CHOLESTEROLHDL RATIO,*Unspecified,182458,1
8930,3040046,NA,LDL CHOLESTEROL CALCULATED,*Unspecified,182477,1
8926,3040042,3019900,CHOLESTEROL (HSL),*Unspecified,183069,1
9461,3040577,NA,COMMENTS NICL,*Unspecified,9,2
23589,304040025,NA,GABAA ANTIBODY TITRE,*Unspecified,101,2
14211,4443,NA,ANTI-GABAA RECEPTOR,*Unspecified,152,2
2709,1534081,3023103,POTASSIUM,*Unspecified,2,3
2711,1534098,3019550,SODIUM,*Unspecified,2,3
1695,1510379,NA,CREATININE,*Unspecified,2,3
8919,3040035,3024561,ALBUMIN (HSL),*Unspecified,13024,3
8918,3040034,3035995,ALKALINE PHOSPHATASE,*Unspecified,13039,3
8912,3040028,3020564,CREATININE (HSL),*Unspecified,13857,3
8913,3040029,46236952,ESTIMATED GFR,*Unspecified,13858,3
8909,3040025,3019550,SODIUM (HSL),*Unspecified,13866,3
8910,3040026,3023103,POTASSIUM (HSL),*Unspecified,13866,3
8925,3040041,3003458,PHOSPHATE,*Unspecified,13952,3
8924,3040040,3020059,CALCIUM ALBUMIN-ADJUSTED,*Unspecified,13953,3
8923,3040039,3015377,CALCIUM (HSL),*Unspecified,13953,3
21007,5323,NA,HISTORIC BLOOD BANK COMMENT,*Unspecified,2,4
21302,5548,NA,PRODUCT ORDER,*Unspecified,2,4
20985,5301,NA,HISTORIC PRODUCT ORDER DETAILS,*Unspecified,4,4
14992,4668,NA,% OF CD3+ (TOTAL T CELLS),*Unspecified,7,7
15026,4699,NA,% OF CD4+ CD45R0+ CXCR5+ (TFH) TTF2,*Unspecified,7,7
15022,4695,NA,% OF CD45R0+ CD127LOW CD25+ TREG,*Unspecified,7,7
15010,4684,NA,% OF CD8+ CD27- CD28-(LATE EF),*Unspecified,7,7
14993,4669,NA,% OF CD3+ (CD4 T CELLS),*Unspecified,7,7
14995,4670,NA,% OF CD3+ CD8+ (CD8 T CELLS),*Unspecified,7,7
15024,4697,NA,% OF CD4+ CD45RA+ CD31+ (RTES) TTE2,*Unspecified,7,7
